seg_th,part_energy(W/m2)
0,6473.861328
1,6556.058105
2,6784.579590
3,7120.063477
4,7519.732422
5,7956.976562
6,8436.599609
7,8995.410156
8,9684.194336
9,10559.947266
10,11654.987305
11,12985.754883
12,14548.172852
13,16331.443359
14,18319.105469
15,20488.689453
16,22803.109375
17,25204.238281
18,27617.537109
19,29951.777344
20,32113.226562
21,34015.527344
22,35592.339844
23,36793.921875
24,37597.703125
25,37999.515625
26,38012.199219
27,37647.625000
28,36907.273438
29,35791.898438
30,34302.500000
31,32463.230469
32,30325.033203
33,27972.337891
34,25508.064453
35,23037.156250
36,20646.400391
37,18399.251953
38,16338.082031
39,14486.914062
40,12860.230469
41,11462.753906
42,10295.894531
43,9344.997070
44,8583.459961
45,7969.988281
46,7464.881836
47,7036.132812
48,6674.139160
49,6388.336914
50,6200.688477
51,6135.310547

52,6525.524902
53,6608.044434
54,6837.724121
55,7174.965332
56,7577.187988
57,8018.102051
58,8503.002930
59,9069.106445
60,9767.422852
61,10654.817383
62,11763.333008
63,13109.163086
64,14688.032227
65,16488.923828
66,18495.183594
67,20683.988281
68,23017.824219
69,25438.542969
70,27871.507812
71,30225.277344
72,32405.480469
73,34324.667969
74,35915.500000
75,37127.238281
76,37937.019531
77,38341.054688
78,38352.667969
79,37984.039062
80,37236.593750
81,36110.828125
82,34607.296875
83,32750.294922
84,30591.296875
85,28215.744141
86,25728.031250
87,23234.343750
88,20822.384766
89,18556.246094
90,16478.376953
91,14612.825195
92,12974.013672
93,11566.730469
94,10392.327148
95,9435.894531
96,8670.175781
97,8053.148438
98,7544.368652
99,7111.528809
100,6745.107910
101,6455.251465
102,6264.706543
103,6198.266602

104,6666.916504
105,6750.381836
106,6983.401367
107,7325.710938
108,7735.193359
109,8186.433105
110,8686.012695
111,9272.266602
112,9996.819336
113,10916.144531
114,12061.618164
115,13448.717773
116,15072.723633
117,16922.017578
118,18979.480469
119,21221.281250
120,23608.695312
121,26083.447266
122,28570.607422
123,30978.117188
124,33209.863281
125,35175.542969
126,36804.988281
127,38044.851562
128,38871.351562
129,39281.722656
130,39290.523438
131,38910.789062
132,38143.750000
133,36989.308594
134,35446.980469
135,33541.359375
136,31325.427734
137,28887.396484
138,26335.625000
139,23779.658203
140,21309.707031
141,18991.707031
142,16868.298828
143,14963.533203
144,13291.631836
145,11857.499023
146,10662.300781
147,9690.439453
148,8912.926758
149,8285.797852
150,7766.573242
151,7322.167969
152,6943.243164
153,6641.945801
154,6443.217285
155,6373.782715

156,6866.072754
157,6950.812988
158,7188.356445
159,7537.676270
160,7957.394531
161,8423.281250
162,8943.604492
163,9558.102539
164,10319.250977
165,11283.030273
166,12480.133789
167,13925.153320
168,15612.776367
169,17530.509766
170,19660.517578
171,21977.423828
172,24440.724609
173,26992.017578
174,29555.830078
175,32039.093750
176,34343.164062
177,36373.800781
178,38057.023438
179,39336.042969
180,40185.890625
181,40605.191406
182,40609.968750
183,40214.160156
184,39418.601562
185,38222.507812
186,36624.332031
187,34649.718750
188,32354.113281
189,29829.646484
190,27190.117188
191,24549.326172
192,22000.494141
193,19611.769531
194,17425.833984
195,15466.550781
196,13747.846680
197,12274.971680
198,11049.092773
199,10053.984375
200,9258.553711
201,8616.364258
202,8082.102539
203,7621.512695
204,7225.276367
205,6908.216797
206,6698.224121
207,6624.658203

208,7087.061035
209,7173.123535
210,7415.361328
211,7772.140137
212,8202.885742
213,8684.506836
214,9226.828125
215,9870.950195
216,10670.428711
217,11681.001953
218,12933.270508
219,14441.126953
220,16198.693359
221,18192.259766
222,20402.933594
223,22803.261719
224,25350.458984
225,27986.031250
226,30633.689453
227,33199.191406
228,35581.085938
229,37681.222656
230,39421.699219
231,40742.304688
232,41616.972656
233,42045.558594
234,42045.203125
235,41630.433594
236,40801.644531
237,39557.660156
238,37896.648438
239,35846.105469
240,33464.660156
241,30848.718750
242,28117.646484
243,25389.240234
244,22759.158203
245,20297.406250
246,18046.156250
247,16028.683594
248,14258.519531
249,12741.661133
250,11479.849609
251,10456.899414
252,9640.002930
253,8980.505859
254,8429.969727
255,7952.660645
256,7538.770020
257,7205.720703
258,6984.285156
259,6906.503906

260,7295.037598
261,7382.288574
262,7628.733398
263,7992.526855
264,8433.794922
265,8930.229492
266,9492.575195
267,10162.858398
268,10995.819336
269,12047.453125
270,13349.295898
271,14915.064453
272,16738.443359
273,18804.152344
274,21091.785156
275,23571.316406
276,26197.453125
277,28911.734375
278,31636.972656
279,34277.894531
280,36730.453125
281,38893.234375
282,40684.964844
283,42042.480469
284,42938.750000
285,43374.429688
286,43367.093750
287,42931.523438
