seg_th,part_energy(W/m2)
0,75.501129
1,104.536354
2,200.203308
3,389.915619
4,717.903137
5,1238.524414
6,2013.829834
7,3098.926270
8,4538.332031
9,6351.734375
10,8529.138672
11,11036.548828
12,13811.317383
13,16773.515625
14,19833.175781
15,22893.320312
16,25870.312500
17,28690.833984
18,31308.468750
19,33691.117188
20,35815.535156
21,37663.625000
22,39203.121094
23,40395.996094
24,41210.648438
25,41620.289062
26,41615.019531
27,41193.144531
28,40362.929688
29,39142.332031
30,37552.003906
31,35633.589844
32,33433.320312
33,31001.093750
34,28384.771484
35,25620.824219
36,22749.433594
37,19812.892578
38,16873.916016
39,14008.664062
40,11295.237305
41,8814.208984
42,6629.798340
43,4782.249512
44,3291.476318
45,2149.689941
46,1324.635986
47,766.281128
48,413.725372
49,210.905060
50,107.824562
51,76.840591

52,76.355003
53,105.744179
54,202.381561
55,394.088226
56,725.394958
57,1251.232666
58,2034.193115
59,3130.037354
60,4583.665527
61,6415.027344
62,8613.952148
63,11145.595703
64,13946.315430
65,16934.425781
66,20018.490234
67,23100.443359
68,26096.466797
69,28934.201172
70,31568.541016
71,33968.414062
72,36110.878906
73,37976.796875
74,39531.972656
75,40736.511719
76,41557.312500
77,41967.179688
78,41956.679688
79,41525.371094
80,40683.175781
81,39449.687500
82,37846.714844
83,35915.828125
84,33702.609375
85,31255.437500
86,28620.996094
87,25835.212891
88,22938.738281
89,19975.302734
90,17009.287109
91,14118.070312
92,11380.985352
93,8879.167969
94,6677.118164
95,4815.262207
96,3313.374268
97,2163.381836
98,1332.677856
99,770.631165
100,415.875702
101,211.832535
102,108.209564
103,77.069603

104,78.663803
105,109.025093
106,208.317261
107,405.487854
108,745.903320
109,1286.107544
110,2090.190674
111,3215.786133
112,4708.923828
113,6590.345215
114,8849.472656
115,11449.080078
116,14322.617188
117,17383.464844
118,20535.941406
119,23678.804688
120,26727.623047
121,29612.576172
122,32292.107422
123,34737.984375
124,36928.355469
125,38841.488281
126,40438.187500
127,41673.812500
128,42511.199219
129,42922.031250
130,42898.089844
131,42442.207031
132,41568.761719
133,40301.531250
134,38665.519531
135,36701.769531
136,34453.816406
137,31965.576172
138,29280.373047
139,26432.783203
140,23465.031250
141,20425.304688
142,17382.941406
143,14418.955078
144,11616.085938
145,9056.891602
146,6806.440430
147,4905.483398
148,3373.297119
149,2200.940674
150,1354.820312
151,782.666321
152,421.859833
153,214.429337
154,109.299110
155,77.727196

156,81.707527
157,113.385361
158,216.293320
159,420.961670
160,773.950500
161,1334.148804
162,2167.785156
163,3335.253662
164,4884.275879
165,6836.827148
166,9181.860352
167,11878.732422
168,14856.526367
169,18021.490234
170,21271.544922
171,24501.009766
172,27624.455078
173,30575.855469
174,33318.777344
175,35829.066406
176,38086.433594
177,40065.566406
178,41720.207031
179,42999.253906
180,43859.753906
181,44271.843750
182,44228.949219
183,43738.585938
184,42821.609375
185,41507.902344
186,39827.160156
187,37819.535156
188,35525.058594
189,32980.871094
190,30224.755859
191,27289.257812
192,24218.875000
193,21068.642578
194,17915.570312
195,14846.361328
196,11948.877930
197,9307.782227
198,6988.749023
199,5032.770996
200,3458.126221
201,2254.462891
202,1386.693604
203,800.218201
204,430.757507
205,218.394302
206,111.042145
207,78.853058

208,84.648422
209,117.664665
210,224.297577
211,436.786346
212,803.026550
213,1384.557617
214,2249.966553
215,3462.854004
216,5072.948242
217,7103.778320
218,9544.017578
219,12349.256836
220,15443.412109
221,18724.740234
222,22083.544922
223,25409.232422
224,28615.052734
225,31639.207031
226,34450.796875
227,37030.164062
228,39358.761719
229,41407.625000
230,43123.292969
231,44448.144531
232,45333.136719
233,45746.882812
234,45684.398438
235,45158.207031
236,44196.242188
237,42834.949219
238,41109.250000
239,39058.027344
240,36716.542969
241,34113.914062
242,31280.880859
243,28247.660156
244,25061.417969
245,21785.578125
246,18506.529297
247,15318.140625
248,12314.355469
249,9582.255859
250,7187.842773
251,5171.983398
252,3551.390137
253,2313.859131
254,1422.553955
255,820.295227
256,441.185028
257,223.184784
258,113.256516
259,80.373322

260,86.948006
261,121.081650
262,230.950180
263,450.344360
264,828.463318
265,1429.456299
266,2324.106689
267,3579.199951
268,5246.354492
269,7350.557129
270,9880.324219
271,12787.670898
272,15991.405273
273,19382.556641
274,22844.042969
275,26261.167969
276,29545.613281
277,32639.242188
278,35515.613281
279,38158.511719
280,40550.648438
281,42659.937500
282,44427.132812
283,45789.894531
284,46694.496094
285,47108.871094
286,47029.445312
287,46473.187500
288,45474.195312
289,44074.230469
290,42312.785156
291,40227.003906
292,37846.820312
293,35193.632812
294,32290.710938
295,29166.179688
296,25869.613281
297,22472.847656
298,19071.738281
299,15767.793945
300,12661.310547
301,9841.990234
302,7376.038574
303,5303.939453
304,3640.443115
305,2371.312012
306,1457.866455
307,840.500000
308,452.015045
309,228.366760
310,115.802414
311,82.238083

312,88.450470
313,123.368599
314,235.731918
315,460.522034
316,848.128357
317,1464.981812
318,2383.619629
319,3673.569336
320,5387.836426
321,7552.363770
322,10155.519531
323,13146.363281
324,16439.423828
325,19920.533203
326,23466.742188
327,26960.789062
328,30312.761719
329,33466.753906
330,36398.648438
331,39093.656250
332,41534.886719
333,43687.941406
334,45490.335938
335,46877.796875
336,47794.273438
337,48208.242188
338,48117.171875
339,47541.242188
340,46518.765625
341,45094.449219
342,43310.792969
343,41202.945312
344,38795.847656
345,36104.914062
346,33146.902344
347,29948.541016
348,26561.091797
349,23063.201172
350,19558.740234
351,16156.084961
352,12961.409180
353,10067.152344
354,7539.886230
355,5419.798340
356,3719.658691
357,2423.382324
358,1490.609375
359,859.731812
360,462.710205
361,233.736618
362,118.611786
363,84.399429

364,89.443054
365,124.845612
366,239.079132
367,467.872955
368,862.650330
369,1491.617432
370,2428.498779
371,3744.824219
372,5494.263184
373,7702.902832
374,10358.849609
375,13409.069336
376,16765.281250
377,20310.880859
378,23919.419922
379,27472.953125
380,30879.904297
381,34084.515625
382,37062.132812
383,39796.820312
384,42271.054688
385,44449.093750
386,46268.269531
387,47665.449219
388,48585.015625
389,48997.359375
390,48900.699219
391,48316.972656
392,47286.195312
393,45853.085938
394,44060.964844
395,41942.789062
396,39519.660156
397,36803.851562
398,33807.753906
399,30557.726562
400,27105.626953
401,23534.107422
402,19952.236328
403,16473.466797
404,13209.051758
405,10254.371094
406,7677.070312
407,5517.618164
408,3787.223877
409,2468.425537
410,1519.400269
411,876.973450
412,472.594147
413,238.923782
414,121.467377
415,86.657097

416,90.400230
417,126.123894
418,241.964798
419,473.990082
420,874.533691
421,1513.011475
422,2463.736084
423,3799.293457
424,5573.158691
425,7810.594727
426,10499.294922
427,13585.144531
428,16978.845703
429,20564.207031
430,24213.875000
431,27810.798828
432,31261.669922
433,34508.722656
434,37524.042969
435,40288.300781
436,42782.441406
437,44970.203125
438,46791.203125
439,48185.761719
440,49101.039062
441,49510.335938
442,49412.570312
443,48830.378906
444,47803.609375
445,46374.429688
446,44584.972656
447,42465.847656
448,40035.605469
449,37306.074219
450,34287.656250
451,31007.248047
452,27516.240234
453,23898.251953
454,20264.435547
455,16731.259766
456,13414.167969
457,10411.709961
458,7793.555176
459,5601.301270
460,3845.344238
461,2507.422852
462,1544.505981
463,892.173523
464,481.510315
465,243.794952
466,124.266327
467,88.887466

468,91.639923
469,127.645340
470,245.088425
471,480.050262
472,885.669556
473,1532.023315
474,2493.499512
475,3842.817383
476,5632.676758
477,7886.826172
478,10592.605469
479,13695.785156
480,17107.673828
481,20714.505859
482,24389.931641
483,28018.558594
484,31505.093750
485,34788.179688
486,37834.761719
487,40620.937500
488,43125.875000
489,45313.523438
490,47127.437500
491,48512.441406
492,49419.562500
493,49825.292969
494,49729.328125
495,49154.300781
496,48138.894531
497,46721.203125
498,44940.703125
499,42825.457031
500,40392.847656
501,37656.257812
502,34626.449219
503,31331.566406
504,27821.658203
505,24178.773438
506,20513.298828
507,16942.824219
508,13586.157227
509,10545.244141
510,7892.800293
511,5672.372559
512,3894.326904
513,2540.036133
514,1565.380981
515,904.821289
516,489.036102
517,248.051453
518,126.814270
519,90.892151

520,93.379814
521,129.737976
522,248.982849
523,486.992859
524,897.596252
525,1551.045898
526,2521.377197
527,3880.588867
528,5680.315430
529,7942.472168
530,10654.388672
531,13762.639648
532,17180.417969
533,20797.460938
534,24489.439453
535,28142.564453
536,31659.326172
537,34974.031250
538,38047.714844
539,40851.992188
540,43364.398438
541,45549.578125
542,47355.519531
543,48731.093750
544,49630.980469
545,50034.074219
546,49940.609375
547,49372.882812
548,48368.511719
549,46961.546875
550,45188.839844
551,43076.457031
552,40641.789062
553,37900.667969
554,34865.410156
555,31565.421875
556,28048.695312
557,24394.259766
558,20710.009766
559,17113.626953
560,13726.706055
561,10654.562500
562,7973.454590
563,5729.221191
564,3932.707031
565,2565.055908
566,1581.119507
567,914.288391
568,494.736786
569,251.386963
570,128.902420
571,92.483780

572,95.396240
573,132.186981
574,253.332794
575,494.434448
576,909.869019
577,1569.698486
578,2547.305176
579,3913.330566
580,5718.400391
581,7982.724609
582,10694.137695
583,13800.672852
584,17217.964844
585,20839.207031
586,24542.109375
587,28213.962891
588,31755.060547
589,35095.820312
590,38191.843750
591,41011.433594
592,43530.968750
593,45716.031250
594,47518.628906
595,48890.296875
596,49788.179688
597,50191.882812
598,50101.613281
599,49538.886719
600,48540.781250
601,47138.464844
602,45367.371094
603,43252.746094
604,40813.160156
605,38067.097656
606,35028.777344
607,31728.347656
608,28211.181641
609,24552.771484
610,20857.589844
611,17243.134766
612,13833.262695
613,10736.395508
614,8032.400879
615,5769.307129
616,3958.672607
617,2581.279541
618,1590.971924
619,920.116211
620,498.305023
621,253.555115
622,130.356522
623,93.524719

624,97.464371
625,134.750320
626,257.793976
627,501.947174
628,921.979858
629,1587.566040
630,2571.270264
631,3942.008789
632,5749.666016
633,8013.089355
634,10721.086914
635,13823.460938
636,17238.224609
637,20861.363281
638,24572.123047
639,28258.210938
640,31818.148438
641,35179.656250
642,38294.289062
643,41128.683594
644,43658.425781
645,45849.890625
646,47657.859375
647,49034.660156
648,49938.082031
649,50346.652344
650,50259.683594
651,49697.472656
652,48697.136719
653,47288.710938
