seg_th,part_energy(W/m2)
0,4026.366211
1,3173.694580
2,4028.538818
3,5353.407715
4,5019.799805
5,4332.369141
6,6628.631836
7,5665.363281
8,5166.482910
9,5979.927734
10,8474.711914
11,8372.824219
12,8897.434570
13,10664.029297
14,13327.343750
15,11410.650391
16,15653.829102
17,16798.617188
18,21112.931641
19,22612.158203
20,20240.773438
21,23021.976562
22,26597.972656
23,28166.726562
24,27872.033203
25,26515.691406
26,25753.097656
27,27607.591797
28,24698.332031
29,29368.935547
30,23325.207031
31,24705.566406
32,22230.728516
33,21812.380859
34,20439.814453
35,15592.481445
36,15021.128906
37,13105.768555
38,10341.169922
39,10291.806641
40,8203.558594
41,6530.336426
42,6330.161133
43,6630.534668
44,4471.587891
45,5797.109375
46,4508.982910
47,4699.643555
48,4993.681152
49,2349.436768
50,4046.203369
51,4559.033203

52,4525.386719
53,3997.492676
54,5667.025391
55,5035.021484
56,8012.004395
57,8354.361328
58,7338.052734
59,7647.528809
60,8345.804688
61,6343.845703
62,10180.666992
63,6845.742676
64,11631.730469
65,12195.234375
66,13450.845703
67,16067.240234
68,16989.017578
69,19181.564453
70,25995.314453
71,28861.296875
72,30559.521484
73,28924.357422
74,29888.005859
75,32214.171875
76,33736.128906
77,33806.867188
78,33926.019531
79,35172.988281
80,31558.289062
81,34486.054688
82,31922.277344
83,30108.607422
84,26968.953125
85,25581.572266
86,16551.244141
87,21574.765625
88,17931.558594
89,18478.433594
90,12497.019531
91,12945.707031
92,9520.126953
93,9492.962891
94,8786.466797
95,5648.816895
96,8988.013672
97,5698.707031
98,5879.529785
99,6166.324219
100,6174.716309
101,4179.530762
102,4362.850098
103,3862.964844

104,3864.366211
105,6023.832520
106,6837.454102
107,8550.366211
108,7341.461426
109,10378.326172
110,9517.952148
111,9640.337891
112,6828.914551
113,9038.237305
114,10750.633789
115,13337.322266
116,16380.945312
117,18269.033203
118,18699.642578
119,20135.556641
120,23232.458984
121,23154.025391
122,30128.251953
123,29629.724609
124,36999.671875
125,37856.082031
126,39769.003906
127,41568.593750
128,42789.316406
129,43816.753906
130,38337.406250
131,39242.285156
132,42101.199219
133,36972.792969
134,35000.546875
135,37198.992188
136,30857.408203
137,28141.095703
138,27958.917969
139,21600.076172
140,20172.810547
141,15849.204102
142,14245.663086
143,14129.695312
144,15621.475586
145,11946.947266
146,7002.982910
147,6482.804199
148,7661.265137
149,7053.619141
150,7390.356934
151,8050.135254
152,6849.565430
153,7167.628906
154,6250.506348
155,5496.951172

156,5713.093750
157,7044.241211
158,7197.377441
159,8675.067383
160,11818.151367
161,7884.129883
162,7160.829590
163,11622.846680
164,10697.388672
165,8329.532227
166,12104.397461
167,15535.336914
168,15662.717773
169,17533.996094
170,20216.533203
171,23624.626953
172,25886.304688
173,25333.345703
174,34976.179688
175,34294.480469
176,36192.738281
177,38963.257812
178,43996.468750
179,44987.050781
180,46741.105469
181,47112.343750
182,44391.484375
183,40243.910156
184,47775.281250
185,43409.558594
186,38966.511719
187,38052.964844
188,37040.964844
189,35704.140625
190,25438.578125
191,24496.162109
192,20048.753906
193,18894.988281
194,15778.127930
195,13392.171875
196,15027.706055
197,9895.212891
198,10836.747070
199,9455.588867
200,10784.684570
201,8777.104492
202,6956.978027
203,9529.961914
204,8199.283203
205,5993.853027
206,6226.322266
207,4027.759277

208,6020.614746
209,4410.201660
210,7583.423340
211,8879.142578
212,8688.875000
213,8233.888672
214,9501.454102
215,8805.106445
216,8292.405273
217,10374.699219
218,9971.454102
219,15816.525391
220,15248.537109
221,16740.654297
222,23201.208984
223,23956.222656
224,29343.003906
225,32997.539062
226,34736.312500
227,33974.332031
228,39555.144531
229,40876.183594
230,43285.246094
231,46896.050781
232,45130.468750
233,45123.117188
234,45952.585938
235,44553.074219
236,43744.683594
237,49627.687500
238,40945.800781
239,45171.722656
240,35045.421875
241,33939.050781
242,27768.460938
243,27828.048828
244,24255.431641
245,19970.322266
246,18076.335938
247,15864.867188
248,13064.668945
249,8834.991211
250,7697.679688
251,10027.303711
252,10659.189453
253,10239.872070
254,8367.492188
255,7584.002930
256,7847.649902
257,7323.442871
258,5510.002930
259,6041.604004

260,5193.250000
261,6001.559570
262,6872.891113
263,9057.257812
264,10690.100586
265,9490.299805
266,6707.799805
267,12341.865234
268,9508.452148
269,12851.036133
270,12632.100586
271,16605.369141
272,16081.005859
273,16348.118164
274,20665.906250
275,22233.193359
276,24230.630859
277,26457.281250
278,37627.160156
279,35992.121094
280,38730.296875
281,44596.558594
282,47451.890625
283,45370.488281
284,48567.027344
285,45331.667969
286,44019.003906
287,47765.378906
288,47472.648438
289,42734.582031
290,46541.707031
291,40676.425781
292,39760.765625
293,31552.710938
294,30666.556641
295,26786.550781
296,22574.648438
297,22443.351562
298,17406.511719
299,16236.787109
300,14109.446289
301,14559.157227
302,11274.061523
303,11783.464844
304,9970.808594
305,9785.249023
306,11160.197266
307,10543.037109
308,9656.964844
309,7223.090820
310,6223.875488
311,5498.306641

312,3693.027344
313,5198.596191
314,6501.346680
315,9034.647461
316,9220.105469
317,7979.205566
318,9332.882812
319,9026.791016
320,10326.066406
321,10330.929688
322,14299.235352
323,16923.880859
324,16611.160156
325,17087.001953
326,20283.726562
327,25899.140625
328,24807.230469
329,24534.244141
330,33164.449219
331,38728.160156
332,38505.691406
333,40175.765625
334,45437.867188
335,54158.019531
336,50319.738281
337,45483.984375
338,48166.730469
339,46865.035156
340,45597.593750
341,45111.121094
342,42914.691406
343,40819.355469
344,39389.843750
345,36126.160156
346,28532.984375
347,23342.267578
348,24645.250000
